시도별,2015,2016,2017,2018,2019,2020
전국,976000,1009000,1023000,1073000,1063000,1108000
서울,226000,226000,244000,254000,233000,241000
부산,71000,69000,81000,71000,65000,72000
대구,45000,54000,52000,56000,47000,48000
인천,79000,78000,75000,70000,72000,74000
광주,22000,23000,22000,30000,29000,30000
대전,27000,26000,27000,34000,34000,36000
울산,17000,23000,21000,28000,25000,25000
세종,,,3000,4000,5000,5000
경기,261000,264000,269000,268000,274000,285000
강원,25000,22000,21000,24000,30000,33000
충북,22000,23000,20000,22000,28000,29000
충남,43000,40000,33000,38000,35000,42000
전북,16000,20000,24000,26000,26000,24000
전남,25000,30000,31000,28000,26000,24000
경북,45000,47000,41000,61000,58000,60000
경남,46000,59000,52000,54000,69000,72000
제주,7000,8000,7000,7000,8000,10000
