시도별,2015,2016,2017,2018,2019,2020
전국,5238000,5434000,5613000,5788000,6039000,6214000
서울,1123000,1149000,1172000,1195000,1251000,1276000
부산,363000,376000,388000,398000,412000,420000
대구,241000,249000,257000,265000,276000,283000
인천,245000,256000,266000,276000,287000,297000
광주,165,170000,176000,182000,184000,189000
대전,171000,178000,185000,191000,202000,207000
울산,104000,107000,110000,113000,113000,115000
세종,0,0,33000,38000,40000,42000
경기,1036000,1086000,1133000,1180000,1252000,1307000
강원,191000,198000,205000,211000,214000,220000
충북,176000,185000,191000,198000,212000,219000
충남,258000,273000,257000,266000,282000,291000
전북,215000,223000,230000,236000,240000,245000
전남,220000,227000,233000,238000,242000,247000
경북,324000,335000,345000,353000,365000,372000
경남,348000,359000,370000,380000,393000,402000
제주,59000,63000,66000,70000,76000,80000
