시도별,2015,2016,2017,2018,2019,2020
전국,1646363,1630614,1581646,1743690,1881357,2134186
서울,258427,267023,263347,289342,317269,369518
부산,152389,149528,145113,159031,172439,196299
대구,113152,107763,103132,110495,117594,131374
인천,97334,100301,98789,110257,122027,142628
광주,71683,69420,65712,72757,76193,84762
대전,53930,54490,52357,56324,59317,66775
울산,21375,18776,18821,22939,26594,33232
세종,4192,4286,4284,4862,5749,7107
경기,257850,263841,261050,297122,328752,379725
강원,63448,62509,60627,67064,71493,78554
충북,55359,53748,51505,59109,62507,69262
충남,64120,62677,60411,65692,69022,75720
전북,103248,99708,94639,101228,105955,115182
전남,88568,83850,79196,84819,87003,92666
경북,109627,105146,99822,107309,113845,125106
경남,107148,104213,100904,112183,121275,137605
제주,24513,23335,21937,23157,24323,28671
