Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
시도별,2015,2016,2017,2018,2019,2020,합계
전국,5238000,5434000,5613000,5788000,6039000,6214000,34326000
서울특별시,1123000,1149000,1172000,1195000,1251000,1276000,7166000
부산광역시,363000,376000,388000,398000,412000,420000,2357000
대구광역시,241000,249000,257000,265000,276000,283000,1571000
인천광역시,245000,256000,266000,276000,287000,297000,1627000
광주광역시,165,170000,176000,182000,184000,189000,1066000
대전광역시,171000,178000,185000,191000,202000,207000,1134000
울산광역시,104000,107000,110000,113000,113000,115000,662000
세종특별자치시,-,-,33000,38000,40000,42000,153000
경기도,1036000,1086000,1133000,1180000,1252000,1307000,6994000
강원도,191000,198000,205000,211000,214000,220000,1239000
충청북도,176000,185000,191000,198000,212000,219000,1181000
충청남도,258000,273000,257000,266000,282000,291000,1627000
전라북도,215000,223000,230000,236000,240000,245000,1389000
전라남도,220000,227000,233000,238000,242000,247000,1407000
경상북도,324000,335000,345000,353000,365000,372000,2094000
경상남도,348000,359000,370000,380000,393000,402000,2252000
제주특별자치도,59000,63000,66000,70000,76000,80000,414000
